node,split,raw_target_tokens,raw_neighbor_tokens,trimmed_neighbor_raw_tokens,node_summary_tokens,metapath_summary_tokens,final_prompt_tokens,num_neighbors_full,num_neighbors_trimmed,num_metapaths,K,M,B_node,B_meta,target_truncated
1890,test,610,755665,20279,1840,587,1403,5112,44,12,2,4,10,10,False
1908,test,71,405860,9823,1194,260,510,4047,32,12,2,4,10,10,False
1914,test,26,1125071,3361,873,391,627,11384,48,12,2,4,10,10,False
1919,test,185,532257,21748,1874,515,911,4372,48,12,2,4,10,10,False
1932,test,357,1569136,19932,2145,471,1035,14628,48,12,2,4,10,10,False
1942,test,621,1080841,18181,1794,449,1280,9576,48,12,2,4,10,10,False
1944,test,130,968607,22085,1862,545,883,8101,48,12,2,4,10,10,False
1950,test,75,2438428,13565,1440,398,677,25054,48,12,2,4,10,10,False
1955,test,88,1275937,9503,1350,345,643,10279,48,12,2,4,10,10,False
1961,test,180,1833338,20498,2048,523,913,17102,48,12,2,4,10,10,False
1962,test,39,1037560,14959,1342,319,568,7816,48,12,2,4,10,10,False
1978,test,1125,1748974,22316,1865,475,1709,16655,48,12,2,4,10,10,True
1981,test,26,2517930,1972,832,393,627,26828,48,12,2,4,10,10,False
1989,test,37,928291,1408,701,405,636,8046,41,12,2,4,10,10,False
1993,test,262,882075,19658,1641,388,859,7377,46,12,2,4,10,10,False
1997,test,235,1693070,17415,1814,515,961,17781,48,12,2,4,10,10,False
2006,test,126,1555501,6845,1339,428,760,17380,48,12,2,4,10,10,False
2009,test,317,813770,23402,1808,557,1075,8268,41,12,2,4,10,10,False
2012,test,47,1443073,4783,1184,414,669,16058,48,12,2,4,10,10,False
2014,test,35,1371634,2389,882,381,623,15814,48,12,2,4,10,10,False
2020,test,33,1409756,2616,977,383,621,15988,48,12,2,4,10,10,False
2028,test,23,1299678,2170,786,293,526,13701,48,12,2,4,10,10,False
2041,test,43,955805,5836,1441,495,746,9261,48,12,2,4,10,10,False
2042,test,37,1046613,1935,821,462,704,11825,48,12,2,4,10,10,False
2045,test,714,508192,18427,1420,376,1269,2197,32,12,2,4,10,10,False
2049,test,33,151000,6906,923,332,540,554,32,12,2,4,10,10,False
2051,test,120,215163,14528,1733,534,864,828,46,12,2,4,10,10,False
2060,test,380,742823,16577,1764,467,1050,3271,41,12,2,4,10,10,False
2072,test,150,575668,18215,1875,509,869,3446,44,12,2,4,10,10,False
2073,test,58,1647002,7651,1333,529,794,15936,48,12,2,4,10,10,False
2084,test,618,469521,20641,1841,559,1391,3101,44,12,2,4,10,10,False
2095,test,422,995733,20840,2053,553,1184,7627,48,12,2,4,10,10,False
2109,test,29,954236,2256,975,384,620,10961,48,12,2,4,10,10,False
2114,test,43,412170,2770,974,369,618,3602,48,12,2,4,10,10,False
2119,test,29,905714,8326,1227,427,663,8329,48,12,2,4,10,10,False
2125,test,30,528370,6643,1295,561,797,4904,48,12,2,4,10,10,False
2127,test,354,362574,17345,1981,576,1137,2087,48,12,2,4,10,10,False
2133,test,26,1706570,1990,893,341,574,20509,48,12,2,4,10,10,False
2136,test,207,857116,11129,1615,588,1006,9071,48,12,2,4,10,10,False
2137,test,35,1707093,2601,981,336,578,19600,48,12,2,4,10,10,False
2138,test,18,188156,2955,1046,533,760,1910,48,12,2,4,10,10,False
2139,test,126,201172,9443,1493,477,806,1971,41,12,2,4,10,10,False
2141,test,29,1454842,3734,1104,336,576,15841,48,12,2,4,10,10,False
2142,test,229,217883,17672,1663,486,918,1858,41,12,2,4,10,10,False
2144,test,46,1410144,3668,1073,446,700,15484,48,12,2,4,10,10,False
2145,test,33,666046,6927,1194,463,706,7002,48,12,2,4,10,10,False
2146,test,51,180061,4227,1137,450,712,1742,48,12,2,4,10,10,False
2155,test,94,1475519,9752,1616,541,838,16071,48,12,2,4,10,10,False
2159,test,39,209078,10731,1479,500,739,2226,41,12,2,4,10,10,False
2164,test,196,319340,9432,1548,532,933,2510,48,12,2,4,10,10,False
2168,test,28,1373155,2570,992,455,693,15279,48,12,2,4,10,10,False
2170,test,42,1206551,3262,1074,523,773,13187,48,12,2,4,10,10,False
2173,test,40,1458588,2487,1050,525,773,15478,48,12,2,4,10,10,False
2175,test,26,1110122,2365,953,351,584,12770,48,12,2,4,10,10,False
2180,test,49,1677378,2962,983,530,788,18798,48,12,2,4,10,10,False
2181,test,50,998314,2992,951,415,673,11204,48,12,2,4,10,10,False
2188,test,69,672262,6444,1338,466,743,6663,48,12,2,4,10,10,False
2190,test,421,813108,17084,1846,502,1132,8143,48,12,2,4,10,10,False
2193,test,28,1223867,3815,1120,533,770,13258,48,12,2,4,10,10,False
2194,test,18,1764619,3077,1061,439,665,19061,48,12,2,4,10,10,False
2199,test,125,1364616,7955,1409,522,845,15408,48,12,2,4,10,10,False
2202,test,206,1132021,16400,1559,500,916,11976,48,12,2,4,10,10,False
2207,test,54,1984776,3993,1297,476,736,23110,48,12,2,4,10,10,False
2210,test,159,664350,19913,1512,461,830,6899,48,12,2,4,10,10,False
2213,test,158,900705,9305,1829,608,976,8786,48,12,2,4,10,10,False
2214,test,34,981748,7637,1568,438,682,9822,48,12,2,4,10,10,False
2217,test,98,771267,9572,1602,511,817,7327,48,12,2,4,10,10,False
2221,test,29,1061139,2734,1012,518,757,11381,48,12,2,4,10,10,False
2223,test,589,1517352,17853,1832,499,1292,14100,44,12,2,4,10,10,False
2226,test,33,1226321,2027,878,410,650,13590,48,12,2,4,10,10,False
2238,test,226,1354559,8998,1592,498,935,14619,48,12,2,4,10,10,False
2239,test,177,678180,11688,1563,484,870,6390,48,12,2,4,10,10,False
2243,test,203,714476,6751,1548,481,891,7169,48,12,2,4,10,10,False
2248,test,42,1287616,6015,1208,476,722,13672,48,12,2,4,10,10,False
2255,test,24,1168380,1761,857,409,643,13485,48,12,2,4,10,10,False
2271,test,26,1629140,1789,808,385,619,19051,48,12,2,4,10,10,False
2274,test,34,1538415,2287,914,482,721,17352,48,12,2,4,10,10,False
2275,test,29,1520467,2507,910,433,669,16496,48,12,2,4,10,10,False
2281,test,525,249064,31879,2312,636,1375,919,48,12,2,4,10,10,False
2282,test,1244,683352,42557,2449,634,1871,6990,48,12,2,4,10,10,True
2283,test,189,96079,18120,1751,623,1020,581,44,12,2,4,10,10,False
2284,test,61,488107,3119,1062,446,713,5012,48,12,2,4,10,10,False
2288,test,207,176210,6851,1167,410,795,1371,32,12,2,4,10,10,False
2301,test,26,408905,3396,968,373,605,3386,48,12,2,4,10,10,False
2303,test,93,1046730,4352,1306,585,887,10207,48,12,2,4,10,10,False
2304,test,51,834010,10812,1643,531,792,6731,48,12,2,4,10,10,False
2307,test,71,341467,10635,1810,562,841,2523,48,12,2,4,10,10,False
2308,test,23,645913,3877,1052,419,647,6124,48,12,2,4,10,10,False
2311,test,404,226893,13374,1803,484,1097,1723,44,12,2,4,10,10,False
2317,test,45,388559,5453,1124,414,661,3207,41,12,2,4,10,10,False
2321,test,26,863088,7094,1236,501,738,7701,48,12,2,4,10,10,False
2322,test,43,468334,6730,1314,504,755,3496,48,12,2,4,10,10,False
2328,test,310,418167,22946,1909,621,1142,3444,46,12,2,4,10,10,False
2330,test,217,457267,18633,2045,470,896,3498,46,12,2,4,10,10,False
2337,test,61,479212,16434,1950,482,753,4068,48,12,2,4,10,10,False
2340,test,29,1223899,1790,826,463,702,12149,48,12,2,4,10,10,False
2344,test,24,1524096,2141,913,274,508,16213,48,12,2,4,10,10,False
2345,test,144,504793,5929,1229,384,707,4792,32,12,2,4,10,10,False
2347,test,34,1375847,3312,1088,463,707,15312,48,12,2,4,10,10,False
2351,test,32,1962223,4287,1115,476,716,22291,48,12,2,4,10,10,False
2352,test,238,663422,17134,2176,549,997,5702,48,12,2,4,10,10,False
2356,test,222,579463,12643,1611,492,913,4926,41,12,2,4,10,10,False
2363,test,253,693446,11803,1823,606,1070,6507,48,12,2,4,10,10,False
2368,test,46,1234529,3647,1143,547,803,12947,48,12,2,4,10,10,False
2371,test,54,1523781,8239,1386,487,750,16779,48,12,2,4,10,10,False
2378,test,45,268299,8720,1475,489,744,1996,48,12,2,4,10,10,False
2379,test,184,162115,12832,1264,360,722,689,32,12,2,4,10,10,False
2383,test,91,614725,11420,1619,518,818,5057,48,12,2,4,10,10,False
2385,test,253,169469,19240,1931,549,1015,692,46,12,2,4,10,10,False
2386,test,441,315876,28936,1972,571,1224,1271,46,12,2,4,10,10,False
2388,test,368,513832,20997,2017,561,1140,3821,48,12,2,4,10,10,False
2390,test,2440,369920,49855,2157,585,1825,1455,46,12,2,4,10,10,True
2407,test,427,2387873,17804,1832,504,1134,25132,41,12,2,4,10,10,False
2408,test,148,2439027,7868,1395,407,762,27052,48,12,2,4,10,10,False
2411,test,418,1208421,21803,1858,600,1226,13603,48,12,2,4,10,10,False
2412,test,48,2114233,4052,1097,515,773,24270,48,12,2,4,10,10,False
2421,test,36,2595298,2697,1098,366,612,30492,48,12,2,4,10,10,False
2423,test,55,1860991,3387,1067,549,814,19288,48,12,2,4,10,10,False
2424,test,52,2006124,3469,1202,383,645,22269,48,12,2,4,10,10,False
2426,test,93,2331344,5539,1357,363,666,27741,48,12,2,4,10,10,False
2437,test,72,1450334,4783,1372,423,702,15932,48,12,2,4,10,10,False
2447,test,60,1943220,4753,1451,409,676,21647,48,12,2,4,10,10,False
2450,test,34,2053016,2977,1076,414,654,24058,48,12,2,4,10,10,False
2454,test,32,2397007,3226,1137,487,726,27797,48,12,2,4,10,10,False
2463,test,24,1802815,2225,838,385,619,20248,48,12,2,4,10,10,False
2468,test,34,2083927,3774,1171,403,646,23989,48,12,2,4,10,10,False
2469,test,25,2111030,2014,795,347,581,23420,48,12,2,4,10,10,False
2470,test,5,2240541,1090,653,284,497,25170,48,12,2,4,10,10,False
2472,test,32,1328596,2189,804,309,550,15786,48,12,2,4,10,10,False
2487,test,30,2255419,1577,720,273,508,25918,48,12,2,4,10,10,False
2488,test,86,1841866,4804,1264,412,704,20455,48,12,2,4,10,10,False
2490,test,48,1854952,3209,1062,450,705,21312,48,12,2,4,10,10,False
2492,test,396,1342559,22577,1843,435,1039,15289,48,12,2,4,10,10,False
2496,test,29,2533804,4102,1323,323,560,29362,48,12,2,4,10,10,False
2501,test,281,1029359,17045,1734,575,1066,10776,44,12,2,4,10,10,False
2502,test,28,1734370,12762,1636,497,738,17892,48,12,2,4,10,10,False
2508,test,69,1547818,7541,1605,486,763,16487,48,12,2,4,10,10,False
2512,test,39,1926856,5614,1178,507,750,21177,48,12,2,4,10,10,False
2515,test,139,1278884,6015,1402,536,882,12955,48,12,2,4,10,10,False
2519,test,26,1649246,2895,968,507,740,17716,48,12,2,4,10,10,False
2524,test,73,823567,6213,1083,496,776,8527,44,12,2,4,10,10,False
2533,test,29,1157090,3947,1118,399,635,12435,48,12,2,4,10,10,False
2549,test,55,846865,5370,1300,466,728,9101,48,12,2,4,10,10,False
2551,test,57,1649649,4718,1383,574,839,18324,48,12,2,4,10,10,False
2557,test,451,1854500,19263,1966,517,1180,19830,48,12,2,4,10,10,False
2560,test,51,963735,8060,1478,492,752,10480,48,12,2,4,10,10,False
2571,test,25,1742039,5878,1239,387,621,19322,48,12,2,4,10,10,False
2580,test,47,352144,6582,1256,453,706,3155,48,12,2,4,10,10,False
2595,test,59,1460002,4423,1141,471,739,16186,48,12,2,4,10,10,False
2601,test,153,283506,17826,1964,507,869,1898,48,12,2,4,10,10,False
2605,test,630,413832,29315,2170,552,1390,3168,48,12,2,4,10,10,False
2622,test,141,1884633,12629,1783,422,773,21672,48,12,2,4,10,10,False
2626,test,64,917118,5179,1259,548,820,9790,48,12,2,4,10,10,False
2630,test,82,1546581,4425,1210,381,671,17353,48,12,2,4,10,10,False
2631,test,138,1528800,8473,1663,512,861,17219,48,12,2,4,10,10,False
2634,test,55,203635,11197,1471,485,751,990,46,12,2,4,10,10,False
2639,test,1365,103494,29482,2061,540,1771,456,48,12,2,4,10,10,True
2640,test,163,50504,10921,1275,379,719,276,32,12,2,4,10,10,False
2652,test,38,1636784,1906,990,343,592,18512,48,12,2,4,10,10,False
2658,test,23,1721883,1874,758,318,549,19336,48,12,2,4,10,10,False
2661,test,18,1498457,1611,840,297,525,16392,48,12,2,4,10,10,False
2665,test,142,621448,16905,1569,606,958,6032,46,12,2,4,10,10,False
2668,test,44,1673392,4881,1312,397,650,18144,48,12,2,4,10,10,False
2674,test,27,1695934,2732,961,456,693,19181,48,12,2,4,10,10,False
2676,test,24,1275453,1854,921,486,717,15183,48,12,2,4,10,10,False
2683,test,311,395862,16336,2021,571,1093,2548,48,12,2,4,10,10,False
2684,test,27,115313,5683,1242,496,729,801,48,12,2,4,10,10,False
2685,test,111,467303,11199,1678,639,960,4455,48,12,2,4,10,10,False
2692,test,75,210046,6548,1173,356,609,2066,32,12,2,4,10,10,False
2694,test,132,140679,16796,1729,559,900,410,44,12,2,4,10,10,False
2699,test,43,1461522,4029,1344,493,746,16597,48,12,2,4,10,10,False
2707,test,17,545595,3714,1089,377,604,5470,48,12,2,4,10,10,False
2709,test,392,1427452,16317,2146,566,1168,15292,48,12,2,4,10,10,False
2710,test,129,354835,10085,1478,462,799,3860,48,12,2,4,10,10,False
2711,test,208,883820,16401,1890,549,967,9066,48,12,2,4,10,10,False
2713,test,456,805565,20145,2039,600,1266,8198,48,12,2,4,10,10,False
2714,test,23,1692717,3457,1004,377,611,19624,48,12,2,4,10,10,False
2718,test,27,1534687,2269,847,322,557,18094,48,12,2,4,10,10,False
2722,test,44,966355,5024,1253,554,808,11042,48,12,2,4,10,10,False
2724,test,245,973536,17160,1648,575,1030,10828,48,12,2,4,10,10,False
2732,test,45,961928,2432,916,415,666,10837,48,12,2,4,10,10,False
2747,test,41,832049,3428,1093,420,669,8537,48,12,2,4,10,10,False
2752,test,30,958911,1824,941,451,687,10930,48,12,2,4,10,10,False
2756,test,83,543317,5682,1085,474,766,6360,48,12,2,4,10,10,False
2757,test,26,947849,1544,754,465,696,10632,48,12,2,4,10,10,False
2764,test,95,605898,12956,1530,503,804,5482,48,12,2,4,10,10,False
2768,test,32,1509332,2730,986,417,659,17426,48,12,2,4,10,10,False
2770,test,30,1311448,3019,1074,442,678,14496,48,12,2,4,10,10,False
2771,test,27,1815751,2417,924,406,643,20092,48,12,2,4,10,10,False
2772,test,54,1338406,2434,832,305,569,14777,48,12,2,4,10,10,False
2776,test,274,1761304,12734,1866,587,1071,17611,46,12,2,4,10,10,False
2784,test,50,1285908,4164,1076,435,695,13800,48,12,2,4,10,10,False
2795,test,54,1275795,3135,993,489,751,13637,48,12,2,4,10,10,False
2817,test,150,558752,16300,1931,568,926,3952,48,12,2,4,10,10,False
2819,test,33,686466,3589,955,404,644,4370,48,12,2,4,10,10,False
